"","pid","X","Trial","TrialDuration","Block","Device","RH_cost","RH_travel_time","RH_Comfort","metro_cost","metro_travel_time","metro_Comfort","Bus_cost","Bus_travel_time","Bus_Comfort","Choice","type","experiment","Comfort_FT_time","Cost_FT_time","Travel_FT_time","Other_FT_time","Comfort_FT_count","Cost_FT_count","Travel_FT_count","Other_FT_count","Tot_time","Tot_counts"
"1",1,1,1,10.4483,4,"Smartphone",25,20,8,1,60,4,1,60,3,"RH_label","WG","mobile",47919.60000567,55215.59998395,47602.8000133,173477.99997366,434,490,419,1519,324215.99997658,2862
"2",1,2,2,9.9511,4,"Smartphone",20,40,8,2,70,4,2,70,5,"RH_label","WG","mobile",47919.60000567,55215.59998395,47602.8000133,173477.99997366,434,490,419,1519,324215.99997658,2862
"3",1,3,3,4.6995,4,"Smartphone",20,30,8,2,60,5,2,60,5,"Metro_label","WG","mobile",47919.60000567,55215.59998395,47602.8000133,173477.99997366,434,490,419,1519,324215.99997658,2862
"4",1,4,4,5.119,4,"Smartphone",25,40,7,2,70,6,2,80,5,"Metro_label","WG","mobile",47919.60000567,55215.59998395,47602.8000133,173477.99997366,434,490,419,1519,324215.99997658,2862
"5",1,5,5,13.383,4,"Smartphone",20,40,7,3,60,6,3,60,4,"Metro_label","WG","mobile",47919.60000567,55215.59998395,47602.8000133,173477.99997366,434,490,419,1519,324215.99997658,2862
"6",1,6,6,4.8668,4,"Smartphone",25,20,9,3,50,4,3,80,3,"RH_label","WG","mobile",47919.60000567,55215.59998395,47602.8000133,173477.99997366,434,490,419,1519,324215.99997658,2862
"7",1,7,7,5.3163,4,"Smartphone",15,20,9,2,50,6,2,80,4,"RH_label","WG","mobile",47919.60000567,55215.59998395,47602.8000133,173477.99997366,434,490,419,1519,324215.99997658,2862
"8",1,8,8,7.9331,4,"Smartphone",20,20,8,1,50,5,1,70,4,"Metro_label","WG","mobile",47919.60000567,55215.59998395,47602.8000133,173477.99997366,434,490,419,1519,324215.99997658,2862
"9",1,9,9,7.9497,4,"Smartphone",25,40,7,1,60,5,1,80,4,"Metro_label","WG","mobile",47919.60000567,55215.59998395,47602.8000133,173477.99997366,434,490,419,1519,324215.99997658,2862
"10",1,10,10,11.9862,4,"Smartphone",20,30,9,3,50,6,3,70,4,"RH_label","WG","mobile",47919.60000567,55215.59998395,47602.8000133,173477.99997366,434,490,419,1519,324215.99997658,2862
"11",1,11,11,10.948,4,"Smartphone",15,30,7,1,70,4,1,60,3,"RH_label","WG","mobile",47919.60000567,55215.59998395,47602.8000133,173477.99997366,434,490,419,1519,324215.99997658,2862
"12",1,12,12,7.7362,4,"Smartphone",15,30,9,3,70,5,3,70,5,"RH_label","WG","mobile",47919.60000567,55215.59998395,47602.8000133,173477.99997366,434,490,419,1519,324215.99997658,2862
"13",2,13,1,10.3626,1,"Smartphone",20,20,7,2,70,4,2,70,4,"RH_label","WG","mobile",19245.60001402,18352.20001109,25864.2000454,166541.99996136,182,173,245,1567,230004.00003187,2167
"14",2,14,2,9.9166,1,"Smartphone",20,40,7,3,50,5,3,60,4,"RH_label","WG","mobile",19245.60001402,18352.20001109,25864.2000454,166541.99996136,182,173,245,1567,230004.00003187,2167
"15",2,15,3,7.9998,1,"Smartphone",25,30,8,3,60,6,3,70,3,"RH_label","WG","mobile",19245.60001402,18352.20001109,25864.2000454,166541.99996136,182,173,245,1567,230004.00003187,2167
"16",2,16,4,5.4164,1,"Smartphone",25,30,7,1,50,4,1,70,4,"RH_label","WG","mobile",19245.60001402,18352.20001109,25864.2000454,166541.99996136,182,173,245,1567,230004.00003187,2167
"17",2,17,5,4.783,1,"Smartphone",25,30,9,2,60,5,2,60,5,"RH_label","WG","mobile",19245.60001402,18352.20001109,25864.2000454,166541.99996136,182,173,245,1567,230004.00003187,2167
"18",2,18,6,5.5828,1,"Smartphone",20,20,9,3,70,4,3,70,5,"RH_label","WG","mobile",19245.60001402,18352.20001109,25864.2000454,166541.99996136,182,173,245,1567,230004.00003187,2167
"19",2,19,7,4.9149,1,"Smartphone",15,20,9,1,70,5,1,80,3,"RH_label","WG","mobile",19245.60001402,18352.20001109,25864.2000454,166541.99996136,182,173,245,1567,230004.00003187,2167
"20",2,20,8,6.8329,1,"Smartphone",15,40,8,3,70,5,3,80,4,"Metro_label","WG","mobile",19245.60001402,18352.20001109,25864.2000454,166541.99996136,182,173,245,1567,230004.00003187,2167
"21",2,21,9,4.2159,1,"Smartphone",20,20,9,1,60,6,1,80,5,"RH_label","WG","mobile",19245.60001402,18352.20001109,25864.2000454,166541.99996136,182,173,245,1567,230004.00003187,2167
"22",2,22,10,6.0687,1,"Smartphone",15,20,8,1,60,6,1,60,5,"RH_label","WG","mobile",19245.60001402,18352.20001109,25864.2000454,166541.99996136,182,173,245,1567,230004.00003187,2167
"23",2,23,11,4.5831,1,"Smartphone",15,40,8,2,50,4,2,60,3,"RH_label","WG","mobile",19245.60001402,18352.20001109,25864.2000454,166541.99996136,182,173,245,1567,230004.00003187,2167
"24",2,24,12,4.383,1,"Smartphone",15,30,7,2,50,6,2,80,3,"RH_label","WG","mobile",19245.60001402,18352.20001109,25864.2000454,166541.99996136,182,173,245,1567,230004.00003187,2167
"25",3,25,1,6.6978,2,"Smartphone",15,20,8,3,70,4,3,60,4,"Bus_label","WG","mobile",18250.79998747,36640.19999775,31053.59998132,109291.80001243,171,346,290,1009,195236.39997897,1816
"26",3,26,2,8.7668,2,"Smartphone",20,20,7,3,70,6,3,60,3,"Bus_label","WG","mobile",18250.79998747,36640.19999775,31053.59998132,109291.80001243,171,346,290,1009,195236.39997897,1816
"27",3,27,3,6.1846,2,"Smartphone",15,40,9,1,60,4,1,70,5,"Metro_label","WG","mobile",18250.79998747,36640.19999775,31053.59998132,109291.80001243,171,346,290,1009,195236.39997897,1816
"28",3,28,4,3.8634,2,"Smartphone",25,30,8,2,70,4,2,80,4,"Metro_label","WG","mobile",18250.79998747,36640.19999775,31053.59998132,109291.80001243,171,346,290,1009,195236.39997897,1816
"29",3,29,5,5.0497,2,"Smartphone",25,20,9,2,60,4,2,70,4,"Metro_label","WG","mobile",18250.79998747,36640.19999775,31053.59998132,109291.80001243,171,346,290,1009,195236.39997897,1816
"30",3,30,6,5.3329,2,"Smartphone",20,30,9,2,50,5,2,60,3,"Metro_label","WG","mobile",18250.79998747,36640.19999775,31053.59998132,109291.80001243,171,346,290,1009,195236.39997897,1816
